City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,anadyr,64.75,177.4833,-5.72,85,75,7.0,RU,1682285544
1,port-aux-francais,-49.35,70.2167,4.13,64,55,14.32,TF,1682285545
2,aykhal,66.0,111.5,-9.81,98,100,0.56,RU,1682285547
3,waitangi,-43.9535,-176.5597,14.34,92,100,3.13,NZ,1682285321
4,ust-nera,64.5667,143.2,-6.58,91,100,3.28,RU,1682285549
5,puerto natales,-51.7236,-72.4875,7.7,87,100,1.21,CL,1682285548
6,madang,-5.2246,145.7966,25.75,89,100,1.89,PG,1682285550
7,desaguadero,-16.5656,-69.0417,11.23,42,11,2.0,PE,1682285551
8,polyarnyy,69.1989,33.4478,-4.38,88,65,7.22,RU,1682285552
9,tsiombe,-25.3,45.4833,21.33,85,100,2.28,MG,1682285553
10,maun,-19.9833,23.4167,19.98,60,0,0.0,BW,1682285553
11,alo,7.4178,6.7371,27.02,81,100,1.66,NG,1682285554
12,khanabad,36.6825,69.1156,17.97,35,13,1.29,AF,1682285555
13,kupang,-10.1667,123.5833,24.32,94,20,1.03,ID,1682285556
14,stanley,54.868,-1.6985,5.99,87,40,5.66,GB,1682285336
15,laguna,38.421,-121.4238,27.38,40,0,2.06,US,1682285329
16,shanwei,22.782,115.3475,22.54,91,100,3.33,CN,1682285558
17,grytviken,-54.2811,-36.5092,3.52,96,100,5.2,GS,1682285559
18,kilindoni,-7.9139,39.6668,26.71,80,88,3.79,TZ,1682285560
19,margaret river,-33.95,115.0667,13.19,79,100,7.22,AU,1682285320
20,juan de acosta,10.8281,-75.0334,30.77,72,93,5.4,CO,1682285561
21,ixtapa,20.7,-105.2,26.57,74,40,5.66,MX,1682285562
22,aasiaat,68.7098,-52.8699,0.22,98,100,4.86,GL,1682285563
23,muynoq,43.7683,59.0214,15.91,52,2,4.34,UZ,1682285563
24,la ronge,55.1001,-105.2842,8.12,27,75,7.2,CA,1682285564
25,qaqortoq,60.7167,-46.0333,2.23,77,99,1.19,GL,1682285340
26,zaozersk,69.4005,32.4476,-5.13,88,62,6.47,RU,1682285566
27,papatowai,-46.5619,169.4708,10.35,67,59,9.13,NZ,1682285566
28,i-n-salah,27.1935,2.4607,28.67,17,100,7.35,DZ,1682285360
29,vorgashor,67.5833,63.95,-10.44,88,100,5.29,RU,1682285568
30,yellowknife,62.456,-114.3525,10.29,37,20,3.09,CA,1682285118
31,bilibino,68.0546,166.4372,-2.68,64,39,2.44,RU,1682285569
32,minas de marcona,-15.2119,-75.1103,21.59,59,1,6.81,PE,1682285358
33,atar,20.5169,-13.0499,28.84,17,0,3.36,MR,1682285305
